256 256
92.707 (-7.67613,-9.11773) (6.85555,5.82969) (-8.32516,1.09993) (-2.6756,-6.51567) (-1.04295,6.00614) (-1.61366,5.94506) (3.1174,5.62724) (-8.01275,1.44018) (-0.903303,5.68322) (2.363,-0.0784359) (-0.50713,-0.314929) (6.24634,5.72202) (-7.22197,-1.29912) (3.01566,-1.57614) (-1.08098,2.04844) (3.09799,-3.81924) (0.110118,3.04773) (3.81834,-5.04888) (-2.95843,0.491249) (2.67921,-0.932777) (0.274359,-3.86214) (-4.49568,3.84763) (1.81754,-1.19683) (-0.195152,3.88373) (0.0343395,-0.432187) (-1.69456,2.78166) (2.4128,4.56964) (-1.59396,-3.33589) (-1.29676,4.31775) (2.12163,-0.103854) (0.18682,0.522349) (-2.40821,0.865005) (1.71516,-1.8219) (-2.72889,-0.195143) (3.36538,-2.85076) (-1.37387,0.210204) (-1.01322,-1.85183) (-3.18188,-1.08882) (0.649709,1.60273) (1.42111,-0.574343) (-0.977898,1.32123) (-0.411837,-1.39953) (0.751992,1.83436) (0.39724,-0.540679) (0.830038,1.37117) (-2.34825,1.10569) (1.54615,-0.521533) (-1.07428,-0.845888) (0.371943,2.10145) (-0.828948,0.886101) (1.27122,-1.61525) (-1.88738,-0.716196) (2.76833,1.70056) (-0.726974,-0.656984) (-0.567586,2.33065) (1.45792,-0.322757) (0.275628,-1.65095) (-1.10001,0.560114) (-0.725053,-0.110532) (-0.775572,-0.814702) (-0.935032,1.05024) (-0.696568,0.16952) (-0.338201,2.09662) (-1.80468,-0.886726) (1.48692,1.92297) (-1.43896,-2.13906) (1.23443,2.40006) (0.293419,-1.12299) (-0.342491,-1.37887) (-1.40779,1.84116) (2.11892,-1.17604) (-0.185997,-1.53464) (-0.576011,0.351264) (0.945676,-0.357977) (-1.59268,-0.978461) (-0.246861,0.654082) (1.17433,2.24309) (0.341048,-1.92229) (-0.654629,1.80364) (0.515024,-0.724586) (0.316051,0.473052) (-0.0866774,0.316172) (0.153256,0.042567) (-0.872361,-0.87002) (0.133926,0.872941) (0.433686,-0.357677) (-0.914095,0.427262) (0.362917,0.306079) (0.333594,-0.759713) (-0.384079,-0.739493) (-0.12239,1.49106) (0.472757,0.032887) (-0.0600991,-0.981881) (0.240388,-0.0133685) (-0.418231,-0.149708) (0.392595,-0.760006) (-0.938767,-0.209897) (0.34873,0.255624) (-0.0759107,-0.172016) (-0.083273,-0.0803881) (-0.352168,0.885493) (0.557559,-0.467366) (0.349586,-0.160553) (-0.152129,0.577609) (0.309525,-0.58433) (0.163132,-0.133291) (-0.494392,-0.99669) (0.54621,0.152462) (0.434853,-0.508491) (0.159262,-0.0210355) (-0.0288477,-0.0883251) (0.0551682,0.302064) (-0.308571,0.838694) (0.181304,0.0954627) (0.364208,0.319432) (-0.73076,0.920609) (0.714025,-0.26268) (-0.416227,0.57101) (-0.480353,-0.0920221) (-0.351992,0.26052) (-0.0621023,-0.476767) (-0.864161,0.138269) (-0.427725,0.53251) (-0.0204058,0.084967) (-0.546332,0.114607) (-0.369747,-0.00135523) (0.343419,-0.213357) (-1.19141,3.09863e-05) (0.343353,0.213355) (-0.369717,0.00137122) (-0.546501,-0.114358) (-0.0203744,-0.0849795) (-0.427758,-0.5323) (-0.864185,-0.138262) (-0.0621481,0.47674) (-0.351997,-0.260523) (-0.480362,0.0920413) (-0.416197,-0.571016) (0.714047,0.262695) (-0.730753,-0.920558) (0.364261,-0.319401) (0.181326,-0.0954559) (-0.308583,-0.838731) (0.0550333,-0.302062) (-0.0288552,0.0882654) (0.159193,0.0210482) (0.435027,0.508286) (0.546167,-0.152436) (-0.494404,0.996721) (0.163103,0.133525) (0.309696,0.584128) (-0.152199,-0.577613) (0.349547,0.160539) (0.557498,0.467353) (-0.352042,-0.88528) (-0.0833972,0.0804695) (-0.0759867,0.172028) (0.348681,-0.255578) (-0.938768,0.209974) (0.392572,0.759953) (-0.418318,0.14967) (0.240408,0.0133239) (-0.0601144,0.982042) (0.472691,-0.0327629) (-0.122447,-1.49101) (-0.384092,0.739474) (0.333474,0.759819) (0.36291,-0.306136) (-0.914203,-0.427264) (0.433719,0.357697) (0.133923,-0.872942) (-0.872282,0.870038) (0.153161,-0.042604) (-0.0867987,-0.316281) (0.31583,-0.472875) (0.515088,0.724552) (-0.654523,-1.80371) (0.341054,1.92218) (1.17426,-2.24316) (-0.247163,-0.654168) (-1.59275,0.978506) (0.945614,0.358109) (-0.576049,-0.351241) (-0.186038,1.53462) (2.11893,1.17595) (-1.40787,-1.84108) (-0.342517,1.37882) (0.293351,1.1231) (1.23433,-2.40011) (-1.43887,2.13909) (1.48692,-1.92302) (-1.8047,0.886732) (-0.338227,-2.09665) (-0.696571,-0.169488) (-0.935188,-1.05024) (-0.775573,0.814738) (-0.725042,0.110695) (-1.09993,-0.56027) (0.275693,1.65095) (1.45797,0.322579) (-0.56752,-2.33068) (-0.726991,0.657016) (2.76826,-1.70068) (-1.88738,0.716311) (1.27118,1.61524) (-0.828976,-0.886069) (0.371834,-2.10159) (-1.07415,0.845945) (1.54616,0.521461) (-2.34834,-1.10558) (0.82982,-1.37112) (0.397302,0.540684) (0.751913,-1.83458) (-0.411793,1.39949) (-0.977897,-1.32121) (1.42107,0.574297) (0.649633,-1.60285) (-3.18189,1.08887) (-1.01318,1.85178) (-1.3739,-0.210095) (3.36546,2.85067) (-2.72888,0.19501) (1.71515,1.82188) (-2.40756,-0.864803) (0.186773,-0.522325) (2.12164,0.103902) (-1.29632,-4.31761) (-1.59386,3.33588) (2.41279,-4.56977) (-1.69472,-2.7816) (0.0342387,0.43208) (-0.195079,-3.88379) (1.81751,1.19682) (-4.49578,-3.84763) (0.274387,3.86209) (2.6792,0.932703) (-2.95841,-0.491108) (3.81849,5.0488) (0.11014,-3.04777) (3.09808,3.81923) (-1.08097,-2.04846) (3.01562,1.57624) (-7.22245,1.29941) (6.24599,-5.7222) (-0.507138,0.314978) (2.36301,0.0784156) (-0.903353,-5.68315) (-8.0128,-1.44011) (3.11717,-5.62733) (-1.61377,-5.94515) (-1.0434,-6.00632) (-2.67546,6.51558) (-8.32501,-1.09994) (6.85543,-5.82976) (-7.67638,9.11786) 
(92.707,-0.00202787) (-7.67558,-9.11755) (6.85647,5.82939) (-8.32465,1.10036) (-2.67558,-6.5157) (-1.04273,6.00618) (-1.61349,5.94509) (3.11767,5.62724) (-8.01264,1.44034) (-0.903138,5.6833) (2.36283,-0.0784521) (-0.507159,-0.314899) (6.2465,5.722) (-7.22191,-1.29895) (3.0156,-1.57625) (-1.0809,2.04855) (3.09779,-3.81927) (0.110263,3.04798) (3.81819,-5.04874) (-2.95835,0.491139) (2.67909,-0.932792) (0.274362,-3.86221) (-4.49551,3.84767) (1.81751,-1.19701) (-0.194826,3.88368) (0.0343554,-0.432255) (-1.69446,2.78168) (2.41303,4.56971) (-1.59399,-3.33578) (-1.29658,4.31783) (2.12165,-0.103803) (0.186823,0.522444) (-2.40817,0.865087) (1.71516,-1.82191) (-2.72885,-0.195286) (3.36528,-2.85065) (-1.37372,0.210299) (-1.01313,-1.85224) (-3.18182,-1.08882) (0.649836,1.6028) (1.42111,-0.574375) (-0.977827,1.3212) (-0.411848,-1.3997) (0.752049,1.83434) (0.397285,-0.54047) (0.830178,1.37121) (-2.34819,1.10557) (1.5463,-0.521588) (-1.07424,-0.845739) (0.371963,2.10136) (-0.828713,0.886299) (1.27113,-1.61523) (-1.88732,-0.716211) (2.76836,1.70048) (-0.726913,-0.656594) (-0.567752,2.33056) (1.45794,-0.322739) (0.275833,-1.65134) (-1.0999,0.560135) (-0.725003,-0.110496) (-0.775581,-0.814724) (-0.934997,1.0504) (-0.696581,0.169593) (-0.338153,2.09613) (-1.80476,-0.88665) (1.48704,1.92311) (-1.43899,-2.13897) (1.23448,2.39997) (0.293089,-1.12291) (-0.342381,-1.37897) (-1.40793,1.84108) (2.11906,-1.1759) (-0.185902,-1.53465) (-0.576042,0.35137) (0.945715,-0.357863) (-1.59269,-0.978496) (-0.246874,0.654047) (1.17437,2.24288) (0.340914,-1.92215) (-0.654561,1.80372) (0.515058,-0.724603) (0.316132,0.47281) (-0.0865807,0.316175) (0.153247,0.0426208) (-0.872334,-0.869921) (0.133841,0.872907) (0.43373,-0.357716) (-0.91404,0.427183) (0.3629,0.306024) (0.333572,-0.759589) (-0.384082,-0.739432) (-0.122441,1.4911) (0.472764,0.0329671) (-0.0600785,-0.981876) (0.240072,-0.0132529) (-0.417966,-0.149564) (0.392687,-0.759925) (-0.938786,-0.209854) (0.348713,0.255584) (-0.0758435,-0.172049) (-0.0834756,-0.0805168) (-0.352124,0.885424) (0.557367,-0.467397) (0.349526,-0.160622) (-0.151979,0.577592) (0.309377,-0.584179) (0.163099,-0.133205) (-0.494652,-0.996886) (0.546053,0.152461) (0.434881,-0.508352) (0.159364,-0.0210222) (-0.0288548,-0.0882885) (0.0551425,0.302167) (-0.308388,0.838824) (0.181497,0.0952509) (0.364207,0.319384) (-0.730643,0.920546) (0.714158,-0.262766) (-0.416146,0.57089) (-0.480118,-0.0921264) (-0.352069,0.260532) (-0.0623012,-0.47667) (-0.864203,0.138073) (-0.428397,0.532726) (-0.0202966,0.0851288) (-0.546423,0.1144) (-0.369675,-0.0012141) (0.343359,-0.21342) (-1.19141,-2.02806e-05) (0.343398,0.213499) (-0.369749,0.0013949) (-0.546796,-0.113908) (-0.0202366,-0.0849193) (-0.427576,-0.532678) (-0.864208,-0.138328) (-0.0620646,0.4768) (-0.351962,-0.260466) (-0.480402,0.0922777) (-0.416433,-0.570956) (0.71483,0.26239) (-0.730802,-0.920393) (0.364352,-0.319381) (0.181414,-0.095427) (-0.308583,-0.838811) (0.0549023,-0.302025) (-0.0288701,0.0883495) (0.159082,0.0210311) (0.434826,0.508441) (0.546368,-0.152602) (-0.494352,0.996787) (0.162936,0.133819) (0.309377,0.584438) (-0.152232,-0.577518) (0.349579,0.160588) (0.557361,0.467008) (-0.352176,-0.885421) (-0.0834624,0.0805511) (-0.0759471,0.172198) (0.348299,-0.255483) (-0.938715,0.210293) (0.392708,0.759926) (-0.418228,0.149741) (0.240369,0.0132753) (-0.0600239,0.981946) (0.472729,-0.0328351) (-0.12273,-1.49099) (-0.38413,0.739541) (0.333509,0.759666) (0.362891,-0.306022) (-0.913456,-0.427298) (0.433501,0.357574) (0.13418,-0.872768) (-0.872329,0.869985) (0.153175,-0.042658) (-0.0871044,-0.315494) (0.315904,-0.472938) (0.515086,0.724626) (-0.65458,-1.80363) (0.341152,1.92221) (1.17415,-2.24322) (-0.2469,-0.654247) (-1.59265,0.978491) (0.945672,0.358078) (-0.576242,-0.351139) (-0.18587,1.53466) (2.11913,1.17596) (-1.40776,-1.84095) (-0.342346,1.37885) (0.293501,1.12292) (1.23417,-2.40039) (-1.43856,2.13909) (1.48679,-1.9228) (-1.80415,0.886889) (-0.33865,-2.09661) (-0.696452,-0.1695) (-0.934937,-1.05027) (-0.775549,0.814682) (-0.724947,0.110485) (-1.09974,-0.56011) (0.275685,1.65103) (1.45787,0.322905) (-0.56786,-2.33061) (-0.726869,0.657247) (2.7683,-1.70069) (-1.88743,0.716246) (1.27143,1.61548) (-0.829036,-0.885889) (0.371752,-2.10173) (-1.07432,0.845906) (1.54609,0.521428) (-2.34834,-1.10574) (0.829894,-1.37097) (0.39726,0.540713) (0.751872,-1.83435) (-0.411806,1.39939) (-0.977951,-1.3211) (1.42108,0.574146) (0.649058,-1.60209) (-3.18162,1.08903) (-1.01306,1.85197) (-1.3741,-0.209939) (3.36551,2.85049) (-2.72885,0.19508) (1.71515,1.82186) (-2.40838,-0.864808) (0.186775,-0.522439) (2.12189,0.103618) (-1.29703,-4.31768) (-1.59372,3.33584) (2.41248,-4.56966) (-1.69488,-2.78154) (0.0343763,0.431978) (-0.195905,-3.88395) (1.81737,1.19654) (-4.49624,-3.84739) (0.274495,3.86183) (2.67929,0.932735) (-2.95858,-0.491132) (3.81847,5.04875) (0.11018,-3.0476) (3.09811,3.81923) (-1.08128,-2.04825) (3.01573,1.57598) (-7.22166,1.29906) (6.24572,-5.72221) (-0.507163,0.315025) (2.36275,0.0783499) (-0.903771,-5.68307) (-8.01314,-1.4393) (3.11626,-5.62772) (-1.61354,-5.94505) (-1.04294,-6.00616) (-2.67566,6.51562) (-8.32536,-1.09977) (6.85505,-5.82996) (-7.67673,9.11792) 
(92.707,-0.00405575) (-7.6751,-9.11754) (6.85673,5.82897) (-8.32426,1.10036) (-2.67607,-6.51507) (-1.04287,6.0065) (-1.61276,5.94517) (3.11715,5.62724) (-8.01288,1.44011) (-0.903322,5.68327) (2.36306,-0.0782776) (-0.506925,-0.315022) (6.24667,5.7218) (-7.22185,-1.29858) (3.01565,-1.57626) (-1.0808,2.04864) (3.09777,-3.8193) (0.11077,3.04778) (3.81846,-5.04914) (-2.95842,0.491362) (2.67929,-0.933036) (0.274425,-3.86213) (-4.49568,3.84756) (1.81746,-1.19657) (-0.195035,3.88376) (0.0341884,-0.432425) (-1.6945,2.78167) (2.41296,4.56959) (-1.59353,-3.33566) (-1.29639,4.3178) (2.12162,-0.103888) (0.186938,0.522391) (-2.40815,0.865559) (1.71501,-1.82198) (-2.72909,-0.194862) (3.36553,-2.85071) (-1.37402,0.210094) (-1.01322,-1.85171) (-3.18189,-1.08873) (0.649853,1.60254) (1.42073,-0.574315) (-0.977626,1.32144) (-0.411915,-1.39906) (0.752007,1.8342) (0.397408,-0.540752) (0.830446,1.37114) (-2.34814,1.10568) (1.54598,-0.520889) (-1.07426,-0.845781) (0.371898,2.10158) (-0.829103,0.885922) (1.27105,-1.61521) (-1.88735,-0.716143) (2.76821,1.70054) (-0.726996,-0.656792) (-0.567352,2.33064) (1.45797,-0.322691) (0.275439,-1.65111) (-1.09974,0.560198) (-0.724667,-0.110385) (-0.775296,-0.814637) (-0.934909,1.05021) (-0.696691,0.169512) (-0.3384,2.09658) (-1.80476,-0.886731) (1.48697,1.9226) (-1.43907,-2.13913) (1.23454,2.39992) (0.293476,-1.12294) (-0.342534,-1.3788) (-1.4079,1.84122) (2.11905,-1.17601) (-0.186096,-1.53454) (-0.575791,0.351099) (0.945861,-0.358415) (-1.59285,-0.978221) (-0.246894,0.654013) (1.17432,2.24301) (0.341092,-1.92216) (-0.654479,1.8036) (0.51496,-0.72501) (0.316441,0.472989) (-0.0866536,0.316001) (0.153365,0.0426457) (-0.87224,-0.86991) (0.134043,0.872996) (0.433807,-0.357738) (-0.914318,0.427528) (0.363207,0.306349) (0.333558,-0.759633) (-0.38406,-0.739428) (-0.122561,1.49068) (0.472736,0.0330094) (-0.0601599,-0.982056) (0.240437,-0.0133197) (-0.418134,-0.14948) (0.39269,-0.759824) (-0.938569,-0.209552) (0.348982,0.25549) (-0.0758528,-0.1721) (-0.0831311,-0.080432) (-0.351903,0.885729) (0.557407,-0.467313) (0.349561,-0.160507) (-0.151703,0.577564) (0.309574,-0.584236) (0.163185,-0.133136) (-0.494567,-0.996853) (0.546353,0.152295) (0.434459,-0.508485) (0.159208,-0.0210828) (-0.0285791,-0.088232) (0.055075,0.302076) (-0.308616,0.838417) (0.181396,0.0953211) (0.364407,0.319324) (-0.730479,0.92174) (0.713973,-0.262721) (-0.416227,0.570783) (-0.480381,-0.0918775) (-0.351769,0.260199) (-0.0620911,-0.476779) (-0.8639,0.13845) (-0.427724,0.532703) (-0.0202501,0.0849324) (-0.546409,0.11436) (-0.369681,-0.00171319) (0.343332,-0.213123) (-1.19141,0.000114823) (0.343511,0.213393) (-0.369729,0.00157114) (-0.546394,-0.114488) (-0.0202731,-0.0848752) (-0.427915,-0.532331) (-0.864224,-0.138269) (-0.0618095,0.476938) (-0.352455,-0.260247) (-0.480249,0.0924164) (-0.416253,-0.570907) (0.71406,0.262683) (-0.730695,-0.920441) (0.364003,-0.319772) (0.181461,-0.095362) (-0.308724,-0.837813) (0.0555455,-0.302199) (-0.0287959,0.0886595) (0.159087,0.0208847) (0.434869,0.508451) (0.546139,-0.152166) (-0.494526,0.996696) (0.163061,0.133403) (0.309562,0.584322) (-0.152768,-0.57751) (0.349628,0.16043) (0.557444,0.467196) (-0.352051,-0.885502) (-0.083475,0.0809878) (-0.0760975,0.172135) (0.348355,-0.255709) (-0.938598,0.209773) (0.392154,0.759909) (-0.41812,0.150021) (0.24051,0.0131397) (-0.0599168,0.982177) (0.472757,-0.0328448) (-0.122388,-1.49097) (-0.383962,0.739511) (0.333469,0.759446) (0.362762,-0.305863) (-0.91436,-0.42737) (0.433694,0.35781) (0.133404,-0.872589) (-0.872328,0.870128) (0.153116,-0.0421011) (-0.0865067,-0.316273) (0.316175,-0.473205) (0.515254,0.724765) (-0.654619,-1.8038) (0.340851,1.92227) (1.17405,-2.24289) (-0.246529,-0.654412) (-1.59272,0.978539) (0.945896,0.357894) (-0.5761,-0.351365) (-0.185778,1.5348) (2.11912,1.17588) (-1.40775,-1.84131) (-0.342578,1.37908) (0.293605,1.12329) (1.23453,-2.39987) (-1.43728,2.13911) (1.48693,-1.92296) (-1.80434,0.887143) (-0.338907,-2.09643) (-0.696622,-0.169603) (-0.935007,-1.0501) (-0.775243,0.814513) (-0.725568,0.110816) (-1.09994,-0.560312) (0.276011,1.6512) (1.45777,0.322868) (-0.567711,-2.33096) (-0.726742,0.656785) (2.76858,-1.70078) (-1.88742,0.716275) (1.27111,1.61537) (-0.8291,-0.885935) (0.371774,-2.10147) (-1.07354,0.846025) (1.54533,0.521265) (-2.34849,-1.10544) (0.829729,-1.3713) (0.396982,0.54058) (0.751732,-1.83445) (-0.411617,1.39954) (-0.977992,-1.32138) (1.4211,0.574072) (0.649764,-1.60204) (-3.18159,1.08905) (-1.0119,1.85239) (-1.37416,-0.210122) (3.3659,2.85026) (-2.7282,0.195367) (1.71411,1.82192) (-2.40845,-0.865127) (0.186636,-0.522371) (2.12196,0.104034) (-1.2969,-4.31779) (-1.59379,3.33597) (2.41281,-4.57041) (-1.69443,-2.78163) (0.0339855,0.432138) (-0.195257,-3.88395) (1.81753,1.19687) (-4.49613,-3.84666) (0.274472,3.86185) (2.67903,0.932721) (-2.95813,-0.490874) (3.81882,5.04851) (0.109722,-3.0475) (3.09858,3.819) (-1.08121,-2.04791) (3.01563,1.57596) (-7.22257,1.30086) (6.24516,-5.72269) (-0.507775,0.31422) (2.36247,0.0787481) (-0.903772,-5.68265) (-8.01347,-1.43862) (3.11493,-5.62795) (-1.61326,-5.94521) (-1.0428,-6.00597) (-2.67575,6.51546) (-8.32496,-1.10019) (6.85582,-5.82942) (-7.67602,9.11764) 
(92.707,-0.000634501) (-7.67584,-9.11782) (6.85601,5.82935) (-8.32468,1.10042) (-2.67541,-6.51554) (-1.04257,6.00587) (-1.61309,5.94423) (3.11807,5.62706) (-8.01144,1.4414) (-0.903213,5.68346) (2.36325,-0.0783037) (-0.507226,-0.314789) (6.24729,5.72133) (-7.22213,-1.29765) (3.01568,-1.57614) (-1.0809,2.04914) (3.0977,-3.81966) (0.110438,3.04776) (3.81763,-5.04936) (-2.95737,0.490815) (2.67942,-0.933257) (0.274616,-3.86162) (-4.4953,3.84726) (1.81766,-1.19688) (-0.196002,3.88377) (0.0348018,-0.4322) (-1.69441,2.78174) (2.4126,4.57018) (-1.59392,-3.3359) (-1.29677,4.31783) (2.12163,-0.103487) (0.188265,0.522421) (-2.40828,0.86495) (1.71463,-1.82197) (-2.72888,-0.19539) (3.36536,-2.85104) (-1.37341,0.210093) (-1.01314,-1.85113) (-3.18187,-1.08875) (0.649759,1.60229) (1.42121,-0.574498) (-0.977464,1.32118) (-0.412683,-1.39949) (0.752513,1.83465) (0.397088,-0.540746) (0.830744,1.37074) (-2.34824,1.10658) (1.5459,-0.521556) (-1.07479,-0.845392) (0.372357,2.10085) (-0.829305,0.886241) (1.27131,-1.61543) (-1.88734,-0.716325) (2.76792,1.70042) (-0.727078,-0.65688) (-0.567704,2.33076) (1.45743,-0.322607) (0.275591,-1.65083) (-1.09951,0.560162) (-0.724401,-0.110553) (-0.775745,-0.814479) (-0.935006,1.0504) (-0.697198,0.169451) (-0.338165,2.09638) (-1.8051,-0.886334) (1.48653,1.92341) (-1.43916,-2.13915) (1.23488,2.3999) (0.293456,-1.12286) (-0.343117,-1.37891) (-1.4076,1.8414) (2.11832,-1.17612) (-0.186253,-1.53467) (-0.576096,0.351527) (0.9456,-0.358258) (-1.59277,-0.978483) (-0.24701,0.653808) (1.17374,2.24324) (0.341009,-1.92222) (-0.654596,1.80341) (0.515179,-0.7247) (0.316089,0.47276) (-0.086377,0.316298) (0.153331,0.0427386) (-0.872251,-0.869765) (0.133817,0.872713) (0.434286,-0.357389) (-0.914214,0.427407) (0.362901,0.306242) (0.333324,-0.759846) (-0.383786,-0.739642) (-0.122206,1.49112) (0.472335,0.0322478) (-0.0598083,-0.981835) (0.24043,-0.0130475) (-0.418051,-0.149552) (0.393902,-0.761298) (-0.938931,-0.210541) (0.348715,0.255609) (-0.0761172,-0.171905) (-0.0834532,-0.0805089) (-0.352303,0.885468) (0.557375,-0.467363) (0.349413,-0.160531) (-0.152354,0.577594) (0.310225,-0.584381) (0.163171,-0.133149) (-0.494381,-0.996423) (0.54613,0.152343) (0.434975,-0.508274) (0.158854,-0.0211312) (-0.0286115,-0.0876488) (0.0541553,0.302079) (-0.308765,0.839296) (0.181502,0.0952002) (0.364449,0.319591) (-0.730674,0.920388) (0.713771,-0.26278) (-0.416267,0.570701) (-0.479816,-0.091685) (-0.351917,0.260717) (-0.0620129,-0.476638) (-0.864481,0.138398) (-0.427592,0.531963) (-0.0204271,0.0852427) (-0.546331,0.114534) (-0.369888,-0.00115622) (0.343229,-0.213607) (-1.19141,0.000363101) (0.343325,0.213411) (-0.369929,0.00175978) (-0.546411,-0.114121) (-0.0202571,-0.0851388) (-0.427657,-0.532565) (-0.863894,-0.138122) (-0.0620179,0.476577) (-0.351989,-0.260555) (-0.480415,0.0916088) (-0.416451,-0.570901) (0.713604,0.262627) (-0.730768,-0.920695) (0.364271,-0.319315) (0.18124,-0.0958088) (-0.308779,-0.839285) (0.0549867,-0.301921) (-0.0290428,0.0884472) (0.159491,0.0211944) (0.434454,0.508455) (0.546077,-0.152477) (-0.494283,0.996324) (0.162993,0.133185) (0.309719,0.584315) (-0.152486,-0.577809) (0.349763,0.160385) (0.557699,0.46736) (-0.352621,-0.885318) (-0.0825932,0.0809516) (-0.0757591,0.172009) (0.348749,-0.25554) (-0.938785,0.21025) (0.392631,0.761344) (-0.417304,0.148531) (0.240565,0.0133726) (-0.0608943,0.982112) (0.472719,-0.0328999) (-0.122703,-1.49121) (-0.383732,0.739494) (0.333716,0.75964) (0.362782,-0.30596) (-0.914209,-0.427286) (0.43346,0.357529) (0.133586,-0.873281) (-0.872348,0.870343) (0.153445,-0.0423756) (-0.0869023,-0.315887) (0.316445,-0.473041) (0.5151,0.724468) (-0.654868,-1.80369) (0.340244,1.92166) (1.17411,-2.24296) (-0.246817,-0.653655) (-1.59248,0.978695) (0.945931,0.357618) (-0.576197,-0.351199) (-0.185657,1.53464) (2.11914,1.17592) (-1.40981,-1.8407) (-0.342606,1.37905) (0.293394,1.1232) (1.234,-2.3993) (-1.43892,2.13895) (1.48721,-1.92293) (-1.80487,0.886359) (-0.338183,-2.09641) (-0.696286,-0.169509) (-0.934809,-1.04991) (-0.775659,0.814601) (-0.724573,0.109942) (-1.10029,-0.560114) (0.276173,1.65118) (1.45809,0.322872) (-0.567807,-2.33037) (-0.726965,0.656863) (2.76778,-1.69987) (-1.88636,0.71647) (1.27124,1.61516) (-0.829198,-0.886037) (0.371688,-2.10139) (-1.07475,0.846124) (1.54608,0.521637) (-2.34849,-1.10505) (0.827924,-1.37217) (0.396154,0.539203) (0.751583,-1.83475) (-0.412183,1.39941) (-0.977877,-1.32128) (1.42119,0.574541) (0.649726,-1.60248) (-3.18185,1.08887) (-1.01284,1.85163) (-1.37341,-0.210204) (3.36556,2.85077) (-2.72921,0.194941) (1.71542,1.82193) (-2.40896,-0.864743) (0.187793,-0.521914) (2.1214,0.103176) (-1.29714,-4.31771) (-1.5941,3.33597) (2.41222,-4.56958) (-1.69416,-2.78134) (0.0344584,0.431956) (-0.195495,-3.88342) (1.81758,1.19672) (-4.49697,-3.84653) (0.274341,3.86205) (2.67967,0.932598) (-2.95885,-0.490774) (3.81868,5.04759) (0.109888,-3.04761) (3.09851,3.81915) (-1.08106,-2.04719) (3.01619,1.57567) (-7.22208,1.29855) (6.24647,-5.72206) (-0.50684,0.315131) (2.36289,0.0784205) (-0.903312,-5.68357) (-8.01311,-1.44006) (3.11742,-5.62795) (-1.61409,-5.945) (-1.0438,-6.00633) (-2.67531,6.51579) (-8.32589,-1.09993) (6.85425,-5.83055) (-7.67767,9.11816) 
